
#
# Source generated by IW5Xport
# Louve@XLabs 2023
#
material,faction_128_ussr
material,faction_128_ussr_fade
sound,RU_3_threat_infantry_generic
sound,RU_1_reaction_casualty_generic
sound,RU_1_rsp_greatshot
sound,RU_1mc_achieve_uav
sound,RU_0_stm_holdyourfire
sound,RU_1mc_control_lost
sound,RU_1mc_hc_demolition
sound,RU_1mc_achieve_ugv
sound,RU_1mc_dfcn_armsrace
sound,RU_1mc_achieve_vest_dep
sound,RU_2_c4_incoming
sound,RU_1mc_KS_hqr_a10
sound,RU_1mc_use_emergairdrop
sound,RU_0_order_action_suppress
sound,RU_1mc_enemy_pavelow
sound,RU_0_inform_attack_smoke
sound,RU_1mc_KS_hqr_littlebird
sound,RU_1mc_hc_armsrace
sound,RU_1mc_hq_destroyed
sound,RU_ac130_fco_within2feet
sound,RU_mp_tactical_insertion
sound,RU_ac130_fco_stillmoving
sound,RU_1mc_achieve_marksman
sound,RU_0_flash_incoming
sound,RU_1mc_grinder
sound,RU_1mc_use_littlebirds
sound,RU_1mc_enemyflag_return
sound,RU_0_inform_attack_flashbang
sound,RU_1mc_KS_ast_inbound
sound,RU_1mc_freeforall_pro
sound,RU_1mc_achieve_team_ammo
sound,RU_1mc_use_stealth
sound,RU_2_semtex_use
sound,RU_0_cmd_attackrightflank
sound,RU_1mc_enemy_carepackage
sound,RU_2_cmd_regroup
sound,RU_1mc_thirdp_freeforall
sound,RU_1mc_dfcn_oneflag
sound,RU_1mc_dh_searchdestroy
sound,RU_1mc_turret_destroyed
sound,RU_3_semtex_incoming
sound,RU_1mc_tctl_sabotage
sound,RU_ac130_fco_downstillmoving
sound,RU_0_semtex_incoming
sound,RU_1mc_achieve_recon_drone
sound,RU_1mc_use_team_ammo
sound,RU_1mc_achieve_moab
sound,RU_ac130_plt_copysmoke
sound,RU_1mc_enemy_phantom_ray
sound,RU_ac130_plt_cleanup
sound,RU_1mc_arena
sound,RU_mp_cmd_suppressfire
sound,RU_2_knife_use
sound,RU_1_order_action_suppress
sound,RU_0_glowstick_ready
sound,RU_mp_cmd_holdposition
sound,RU_1mc_goodtogo
sound,RU_1mc_security_complete
sound,RU_1_stm_dropzone
sound,RU_1mc_bomb_planted
sound,RU_2_order_action_suppress
sound,ru_victory_music
sound,RU_1mc_thirdp_captureflag
sound,RU_1mc_tm_death_pro
sound,RU_1mc_tctl_tm_death
sound,RU_4_inform_attack_frag
sound,RU_1mc_enemy_hellfire
sound,RU_1mc_achieve_vest
sound,RU_1mc_holddown
sound,RU_ac130_fco_yougothim
sound,RU_ac130_fco_takehimout
sound,RU_mp_rsp_greatshot
sound,RU_1mc_mission_success
